Designation (and name),Prov.Des.,q,Q,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,Discovery date,site,discoverer(s)
,2016 AE193,16.426,53.619,8.2,20160113,0.2,181.9,292.3,10,0.531,35.022,( 4d),MPC xxxxx,1/14/2016,691,Spacewatch
,2015 VV1,6.795,18.566,11,20151025,44.3,188.6,130,17.4,0.464,12.68,( 3d),MPO 357264,11/2/2015,F51,Pan-STARRS 1
,2015 UH67,5.886,13.201,14.1,20151005,0.4,335.8,46.1,20.4,0.383,9.543,( 4d),MPO 357262,10/19/2015,F51,Pan-STARRS 1
,2015 TS350,5.055,279,13.2,20160113,0.4,277,38.3,58.1,0.964,142,( 47d),MPO 361290,10/15/2015,F51,Pan-STARRS 1
,2015 SV20,26.605,85.713,7.7,20151005,11.9,283.4,59.2,6.2,0.526,56.159,( 48d),MPO 357236,9/20/2015,Z79,Calar Alto TNO Survey
,2015 SO20,33.163,292,6.4,20160113,359.7,355,33.6,23.4,0.796,163,4,MPO 358306,9/20/2015,Z79,Calar Alto TNO Survey
,2015 PD312,34.771,74.305,8.1,20150826,356.9,243.7,155,23.1,0.362,54.538,( 55d),MPO 353730,8/15/2015,W84,Dark Energy Survey
,2015 PJ311,6.783,37.775,13.3,20150717,1.4,225,97,18.5,0.696,22.279,( 15d),MPO 346376,8/10/2015,F51,Pan-STARRS 1
,2015 PN291,6.623,22.097,11.5,20160113,340.3,30.7,12.8,9.5,0.539,14.36,2,MPO 347401,8/10/2015,F51,Pan-STARRS 1
,2015 KZ120,8.398,84.294,9.9,20150607,355.7,65.9,250,85.6,0.819,46.346,( 55d),MPO 346334,5/20/2015,F51,Pan-STARRS 1
,2015 HT171,8.174,14.977,12.3,20160113,10.9,139.9,58.7,33.3,0.294,11.576,2,MPO 337150,4/23/2015,F51,Pan-STARRS 1
,2015 HO171,6.641,10.65,11.8,20160113,358.6,63,278.6,33.3,0.232,8.646,2,MPO 349338,4/23/2015,691,Spacewatch
,2015 HX10,10.801,20.492,12.1,20150408,351.3,358.6,220.4,32.5,0.31,15.647,( 5d),MPO 339547,4/18/2015,W84,DECam
,2015 HP9,12.917,37.12,10.6,20150408,0.5,63.6,138,3,0.484,25.018,( 1d),MPO 339547,4/20/2015,F51,Pan-STARRS 1
,2015 FZ117,12.991,34.883,10.5,20150408,9.8,356.1,154.6,6.8,0.457,23.937,( 32d),MPO 339526,3/23/2015,F51,Pan-STARRS 1
,2015 DB216,12.97,25.468,8.3,20160113,307.3,237.7,6.3,37.7,0.325,19.219,2,MPO 336803,2/27/2015,G96,Mt. Lemmon Survey
,2015 CM3,6.943,21.344,12.6,20160113,7.3,163.1,314.9,16.8,0.509,14.144,2,MPO 358246,2/10/2015,G96,Mt. Lemmon Survey
,2015 BF515,16.965,23.823,10,20160113,25.9,104.9,322.4,28.3,0.168,20.394,( 85d),MPO 332707,1/16/2015,F51,Pan-STARRS 1
,2014 WT69,44.546,109,5.7,20141119,0.1,139.6,267.6,10.2,0.419,76.654,( 4d),MPO 322397,11/17/2014,F51,Pan-STARRS 1
,2014 UH192,19.34,68.975,5.8,20141030,43.2,282.4,12.4,19.4,0.562,44.157,( 23d),MPO 322380,10/28/2014,F51,Pan-STARRS 1
,2014 UT114,16.872,45.195,8.5,20141010,359.5,82.1,319.5,15.2,0.456,31.033,( 6d),MPO 315354,10/22/2014,G96,Mt. Lemmon Survey
,2014 TZ33,9.406,67.113,11.1,20160113,1,159.1,171.8,86,0.754,38.259,2,MPO 357218,10/3/2014,G96,Mt. Lemmon Survey
,2014 SB349,21.267,30.373,9.5,20160113,300.4,359.2,117.2,15.5,0.176,25.82,2,MPO 354521,9/24/2014,W84,Dark Energy Survey
,2014 SS303,6.761,19.597,13.8,20160113,10.9,256.4,102.8,3.8,0.487,13.179,(124d),MPO 332544,9/20/2014,F51,Pan-STARRS 1
,2014 SR303,10.334,19.744,11.3,20160113,0.6,7.2,21.7,3,0.313,15.039,2,MPO 350506,9/19/2014,F51,Pan-STARRS 1
,2014 SW223,7.6,10.339,12.9,20160113,50.2,288.7,22.6,10.7,0.153,8.97,3,MPO 347318,9/19/2014,F51,Pan-STARRS 1
,2014 RE12,5.08,23.514,12.4,20160113,349.1,78.6,338.4,31.6,0.645,14.297,2,MPO 353713,9/2/2014,F51,Pan-STARRS 1
,2014 QR441,42.605,92.296,6.8,20160113,354.6,283,77.9,42.2,0.368,67.45,2,MPO 357218,8/18/2014,W84,Dark Energy Survey
,2014 OG392,10.972,16.905,10.9,20140722,359.9,170.3,147.3,7.7,0.213,13.939,( 1d),MPO 307148,7/28/2014,F51,Pan-STARRS 1
,2014 ON6,5.782,20.711,11.6,20160113,17.5,195.2,94.3,3.9,0.564,13.246,6,MPO 361236,7/25/2014,F51,Pan-STARRS 1
,2014 LR14,9.132,25.569,11.5,20140612,353.6,75.3,184.4,6.3,0.474,17.351,( 26d),MPO 303420,6/2/2014,G96,Mt. Lemmon Survey
,2014 KL84,5.718,26.548,13.9,20160113,11.3,91.2,134.5,12.3,0.646,16.133,3,MPO 339502,5/20/2014,F51,Pan-STARRS 1
,2014 HU195,5.59,23.563,14.6,20140413,353.9,133.4,117.1,5.8,0.616,14.577,( 1d),MPO 322309,4/24/2014,W84,DECam
,2014 HY123,6.98,30.355,11.3,20160113,355.5,230.5,315.3,14,0.626,18.668,3,MPO 335305,4/24/2014,G96,Mt. Lemmon Survey
,2014 GE45,33.977,96.325,6.3,20140324,0.1,242.3,316.3,0.8,0.478,65.151,( 4d),MPO 292244,4/4/2014,F51,Pan-STARRS 1
,2014 FX71,36.209,78.741,6,20160113,29.9,200.5,275.7,17.7,0.37,57.475,2,MPO 336643,3/28/2014,807,
,2014 FV71,37.424,75.792,5.7,20160113,323.3,39.1,202.3,27,0.339,56.608,2,MPO 336643,3/24/2014,807,
,2014 FC69,40.52,105,4.6,20160113,86.2,190.5,250.2,30,0.445,72.98,2,MPO 328235,3/25/2014,807,
,2014 FU61,5.36,13.054,13.8,20160113,34.2,119.7,59.3,19.6,0.418,9.207,2,MPO 336642,3/28/2014,G96,Mt. Lemmon Survey
,2014 FW,10.757,48.011,9.9,20160113,357.3,114.4,98.2,12.7,0.634,29.384,2,MPO 339501,3/20/2014,G96,Mt. Lemmon Survey
,2014 DT112,13.44,77.336,10.3,20160113,5.6,323.4,158.8,40.9,0.704,45.388,( 22d),MPO 286767,2/26/2014,F51,Pan-STARRS 1
,2014 AT28,6.511,15.388,11.9,20160113,344.5,279.6,262.5,165.6,0.405,10.95,5,MPO 361226,1/3/2014,G96,Mt. Lemmon Survey
,2013 XZ8,8.439,18.568,9.8,20160113,321.7,287.9,266.6,22.5,0.375,13.504,6,MPO 361226,12/6/2013,926,
,2013 WV107,10.738,18.752,10,20160113,330.9,220.6,274.7,23.9,0.272,14.745,4,MPO 361226,11/25/2013,F51,Pan-STARRS 1
,2013 VD24,41.263,67.757,7.7,20131214,62.6,196.8,105.7,18.9,0.243,54.51,( 90d),MPO 353695,11/6/2013,W84,Dark Energy Survey
,2013 VE2,5.884,16.112,12.8,20131015,20.7,226.9,118.3,6.9,0.465,10.998,( 3d),MPO 277286,11/1/2013,G96,Mt. Lemmon Survey
,2013 UL10,6.2,13.757,12.5,20160113,18.3,186.8,234,19.1,0.379,9.979,4,MPO 322301,10/31/2013,H15,
,2013 TJ159,36.237,69.341,6.4,20160113,13.7,174,165.2,4.8,0.314,52.789,5,MPO 358202,10/13/2013,W84,DECam
,2013 TP145,13.386,40.224,9.8,20131015,3.6,27.9,325.8,28.3,0.501,26.805,( 21d),MPO 277282,10/8/2013,809,
,2013 SE99,36.629,122,7.8,20160113,21.1,223.7,100.6,18.3,0.539,79.415,2,MPO 324007,9/29/2013,W84,Dark Energy Survey
,2013 RG98,19.219,27.175,9,20160113,293,350.7,146,46,0.171,23.197,2,MPO 328224,9/3/2013,W84,Dark Energy Survey
,2013 RF98,36.29,614,8.6,20130925,0.1,316.5,67.6,29.6,0.888,325,( 56d),MPO 331342,9/12/2013,W84,Dark Energy Survey
,2013 RN30,7.878,25.384,13.1,20130816,358.8,170.8,183.4,14.8,0.526,16.631,( 10d),MPO 271323,9/3/2013,F51,Pan-STARRS 1
,2013 PH44,15.531,23.652,9,20160113,3.2,178.3,160.9,33.6,0.207,19.592,3,MPO 307076,8/12/2013,F51,Pan-STARRS 1
,2013 LU35,27.051,89.473,9.9,20130727,36.8,25.5,155.7,3.1,0.536,58.262,(115d),MPO 288535,6/5/2013,268,New Horizons KBO Search
,2013 LU28,8.736,335,8,20160113,358.6,153.2,276.1,125.4,0.949,172,3,MPO 343606,6/8/2013,G96,Mt. Lemmon Survey
,2013 JV64,31.153,115,7.3,20160113,328.7,113.8,224.7,31.3,0.573,73.023,2,MPO 347303,5/7/2013,568,Outer Solar System Origins Survey
,2013 JR64,35.64,121,8.8,20160113,359.1,140.8,109.5,10.5,0.544,78.233,3,MPO 347303,5/8/2013,568,Outer Solar System Origins Survey
,2013 JQ64,22.407,76.222,6.3,20160113,80.3,32.1,71.6,34.8,0.546,49.314,3,MPO 347303,5/8/2013,568,Outer Solar System Origins Survey
,2013 JP64,32.429,82.794,8.5,20160113,345.1,79.6,206.6,13.7,0.437,57.611,3,MPO 347303,5/8/2013,568,Outer Solar System Origins Survey
,2013 JO64,35.123,258,8.2,20160113,1.6,40.6,185.1,8.6,0.76,147,3,MPO 347303,5/7/2013,568,Outer Solar System Origins Survey
,2013 JN64,37.771,68.916,8.4,20160113,11.4,78.8,146.3,7.7,0.292,53.343,3,MPO 347302,5/8/2013,568,Outer Solar System Origins Survey
,2013 JL64,35.941,78.417,7.5,20160113,30.3,104.3,73.4,27.7,0.371,57.179,3,MPO 347302,5/7/2013,568,Outer Solar System Origins Survey
,2013 JK64,32.676,78.652,7.9,20160113,8.4,121.8,100.2,11.1,0.413,55.664,3,MPO 347302,5/7/2013,568,Outer Solar System Origins Survey
,2013 JH64,36.505,82.782,5.8,20160113,49,60.7,86,13.7,0.388,59.643,3,MPO 347302,5/7/2013,568,Outer Solar System Origins Survey
,2013 JF64,30.494,81.22,9.3,20160113,3.5,128.1,105.3,8.8,0.454,55.857,3,MPO 347301,5/7/2013,568,Outer Solar System Origins Survey
,2013 JD64,42.61,103,8,20160113,358.4,177.5,67.5,50.3,0.414,72.724,3,MPO 347301,5/8/2013,568,Outer Solar System Origins Survey
,2013 JC64,13.76,30.662,12.1,20160113,7.3,170,71.5,32,0.38,22.211,2,MPO 347301,5/8/2013,568,Outer Solar System Origins Survey
,2013 JU63,33.437,69.683,6.8,20160113,25.9,259.2,278.5,4.3,0.351,51.56,2,MPO 293262,5/8/2013,807,
,2013 JX14,7.3,15.433,11.7,20160113,57.1,274.9,246,10.5,0.358,11.366,4,MPO 297942,5/5/2013,F51,Pan-STARRS 1
,2013 GZ136,33.933,142,8.2,20160113,353.7,36.1,213.9,18.3,0.614,87.896,3,MPO 347294,4/4/2013,568,Outer Solar System Origins Survey
,2013 GY136,32.595,79.327,7.6,20160113,344.2,43.4,221,10.9,0.418,55.961,3,MPO 347294,4/9/2013,568,Outer Solar System Origins Survey
,2013 GS136,34.223,78.029,8.5,20160113,350,196.7,44.6,7,0.39,56.126,3,MPO 347293,4/4/2013,568,Outer Solar System Origins Survey
,2013 GP136,41.117,264,6.6,20160113,356.1,42.1,210.7,33.5,0.73,153,3,MPO 347292,4/4/2013,568,Outer Solar System Origins Survey
,2013 FJ28,19.611,51.05,7.7,20160113,321.3,77.9,184.9,21.8,0.445,35.331,3,MPO 335283,3/16/2013,807,
