Designation (and name),Prov.Des.,q,Q,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,Discovery date,site,discoverer(s)
,2015 SW20,41.268,45.412,6.4,20150915,273.4,336.4,108.4,1.1,0.048,43.34,( 25d),MPO 357236,9/17/2015,Z79,Calar Alto TNO Survey
,2015 SP20,31.752,50.508,6,20150915,238.8,14,99,3.1,0.228,41.13,( 27d),MPO 353759,9/17/2015,Z79,Calar Alto TNO Survey
,2015 PF312,40.956,49.826,6.3,20150826,24.1,208.3,160.9,18,0.098,45.391,( 40d),MPO 357224,8/14/2015,W84,Dark Energy Survey
,2015 FG345,37.998,46.456,4.9,20150408,296.7,216.2,58.8,35.9,0.1,42.227,( 66d),MPO 339537,3/18/2015,F51,Pan-STARRS 1
,2015 FP36,28.104,52.595,6.8,20150319,0.1,55.7,151,23.7,0.303,40.349,( 37d),MPO 339523,3/18/2015,F51,Pan-STARRS 1
,2014 VT37,29.444,50.466,9,20141209,18.6,175.6,197.7,33.5,0.263,39.955,( 60d),MPO 346322,11/12/2014,W84,Dark Energy Survey
,2014 UF224,39.354,51.313,7.4,20160113,264.8,331.1,174.4,27.2,0.132,45.334,2,MPO 336649,10/26/2014,W84,Dark Energy Survey
,2014 UM33,36.19,49.686,4.9,20160113,268.9,268.9,236.6,17.4,0.157,42.938,4,MPO 343642,10/22/2014,G96,Mt. Lemmon Survey
,2014 TU85,33.641,63.653,8.4,20141010,340.9,306.1,120.8,16.4,0.308,48.647,( 17d),MPO 331358,10/13/2014,W84,Dark Energy Survey
,2014 TT85,37.445,43.427,8.1,20160113,29.7,267.1,98.3,17.8,0.074,40.436,3,MPEC 2016-A102,10/2/2014,W84,Dark Energy Survey
,2014 SZ348,36.877,59.091,8,20160113,7.6,239.5,158.6,47.7,0.231,47.984,( 67d),MPO 324043,9/20/2014,W84,Dark Energy Survey
,2014 QU441,36.789,45.507,8,20160113,341,301.2,113.2,19.3,0.106,41.148,2,MPO 354520,8/18/2014,W84,Dark Energy Survey
,2014 QS441,43.876,49.639,5.6,20160113,316.6,257.2,186,38,0.062,46.757,2,MPO 350506,8/19/2014,W84,Dark Energy Survey
,2014 QN441,33.13,58.868,6.7,20160113,3.8,242.7,144.7,20.7,0.28,45.999,2,MPO 328239,8/18/2014,W84,Dark Energy Survey
,2014 QM441,28.517,50.491,8.5,20160113,354.9,313,96.1,18.3,0.278,39.504,2,MPO 354520,8/21/2014,W84,Dark Energy Survey
,2014 QL441,36.173,60.544,6.5,20160113,11.6,293.5,75.8,26.3,0.252,48.359,2,MPO 354520,8/18/2014,W84,Dark Energy Survey
,2014 QF433,39.895,52.37,6,20160113,61.9,166.5,83.8,4.7,0.135,46.132,2,MPO 343637,8/25/2014,F51,Pan-STARRS 1
,2014 PN70,40.11,48.706,8.5,20140831,279.2,236.1,136.3,4.1,0.097,44.408,( 78d),MPO 335305,8/6/2014,250,
,2014 OS393,42.86,45.022,8.3,20140831,51.3,88.9,138.3,3.8,0.025,43.941,( 85d),MPO 335305,7/30/2014,250,
,2014 MU69,42.196,46.335,9.1,20160113,298.8,189.3,159,2.5,0.047,44.265,(118d),MPO 347317,6/26/2014,250,
,2014 MT69,38.741,47.72,9.9,20140702,275.3,236,140.9,3.2,0.104,43.231,( 40d),MPO 335305,6/24/2014,250,
,2014 FY71,33.704,55.149,5.2,20160113,45.7,240.6,241.9,18.5,0.241,44.427,2,MPO 336643,3/28/2014,807,
,2014 FW71,40.15,46.585,6,20160113,283.5,31,247.5,13.9,0.074,43.367,2,MPO 342298,3/27/2014,807,
,2014 FU71,39.933,47.716,5.6,20160113,345.9,336.2,253,2.9,0.089,43.825,2,MPO 336643,3/28/2014,807,
,2014 FT71,37.927,49.377,4.8,20160113,227.8,354.2,346.3,27.8,0.131,43.652,2,MPO 342298,3/24/2014,807,
,2014 FB62,32.116,49.887,7.6,20140413,352.6,14.7,187.7,5.9,0.217,41.002,( 52d),MPO 297953,3/30/2014,W84,DECam
,2014 FX61,31.89,55.639,7.6,20140503,49,282.7,189.4,22.3,0.271,43.765,( 78d),MPO 307079,3/30/2014,W84,DECam
,2014 FP43,32.596,62.663,6.2,20140324,42.2,97.7,5.3,28.8,0.316,47.629,( 59d),MPO 294927,3/24/2014,F51,Pan-STARRS 1
,2013 TH159,37.008,44.642,8.6,20160113,85.5,232.5,62.4,33.6,0.093,40.825,2,MPO 343609,10/3/2013,W84,Dark Energy Survey
,2013 SA87,38.739,44.371,7.1,20160113,14.4,142.6,207.5,40.9,0.068,41.555,3,MPO 357201,9/23/2013,G36,
,2013 RM98,37.461,48.905,5.6,20160113,98.8,251.3,352.4,28.2,0.133,43.183,4,MPO 358202,9/8/2013,W84,DECam
,2013 RD98,30.143,48.522,7.3,20160113,127.1,103.9,145,19.6,0.234,39.332,2,MPO 324001,9/12/2013,W84,Dark Energy Survey
,2013 RB98,31.245,52.993,6.6,20160113,286.9,350.9,147.2,22,0.258,42.119,2,MPO 328223,9/1/2013,W84,Dark Energy Survey
,2013 QP95,33.687,47.365,7.2,20160113,315,19.8,71.4,25.5,0.169,40.526,2,MPO 327138,8/30/2013,W84,Dark Energy Survey
,2013 QO95,38.628,41.068,6.6,20160113,346.3,323.1,83.1,20.6,0.031,39.848,2,MPO 322293,8/30/2013,W84,Dark Energy Survey
,2013 JT65,37.396,56.27,8,20160113,54.9,359.4,170.2,8.6,0.201,46.833,3,MPO 347306,5/8/2013,568,Outer Solar System Origins
,2013 JS65,39.662,41.751,8.4,20160113,17.6,26,201.5,13.7,0.026,40.707,2,MPO 347306,5/8/2013,568,Outer Solar System Origins
,2013 JR65,37.528,55.211,7.9,20160113,333.8,183.1,98.2,11.7,0.191,46.369,3,MPO 347306,5/8/2013,568,Outer Solar System Origins
,2013 JQ65,38.845,50.058,8.2,20160113,46.1,53.4,131.4,8.4,0.126,44.451,3,MPO 347306,5/7/2013,568,Outer Solar System Origins
,2013 JP65,38.653,44.225,8,20160113,64.7,336.9,192,12.4,0.067,41.439,3,MPO 347306,5/7/2013,568,Outer Solar System Origins
,2013 JO65,39.087,46.061,8.3,20160113,318,114.1,175,9.9,0.082,42.574,3,MPO 347306,5/7/2013,568,Outer Solar System Origins
,2013 JN65,40.471,41.175,7.4,20160113,168.2,350.1,79.9,19.6,0.009,40.823,2,MPO 347306,5/7/2013,568,Outer Solar System Origins
